term,month,program,section,enrolled,waitlist,completed,cost_center
Fall 2025,2025-08,Excel Essentials,01,34,1,30,CC-3120
Fall 2025,2025-08,Excel Essentials,02,26,0,22,CC-3120
Fall 2025,2025-08,Data Skills Bootcamp,01,48,3,41,CC-3155
Fall 2025,2025-08,Grant Writing Basics,01,18,0,15,CC-5205
Fall 2025,2025-08,Leadership Foundations,01,22,0,20,CC-4410
Fall 2025,2025-09,Excel Essentials,01,36,2,31,CC-3120
Fall 2025,2025-09,Excel Essentials,02,28,0,24,CC-3120
Fall 2025,2025-09,Data Skills Bootcamp,01,52,5,45,CC-3155
Fall 2025,2025-09,Grant Writing Basics,01,20,1,17,CC-5205
Fall 2025,2025-09,Leadership Foundations,01,30,1,26,CC-4470
Fall 2025,2025-10,Excel Essentials,01,140,0,118,CC-3120
Fall 2025,2025-10,Excel Essentials,02,27,1,23,CC-3120
Fall 2025,2025-10,Data Skills Bootcamp,01,55,4,47,CC-3155
Fall 2025,2025-10,Grant Writing Basics,01,19,0,16,CC-5205
Fall 2025,2025-10,Leadership Foundations,01,31,2,27,CC-4470
Fall 2025,2025-11,Excel Essentials,01,38,1,33,CC-3120
Fall 2025,2025-11,Excel Essentials,02,25,0,21,CC-3120
Fall 2025,2025-11,Data Skills Bootcamp,01,50,2,44,CC-3155
Fall 2025,2025-11,Grant Writing Basics,01,17,0,14,CC-5205
Fall 2025,2025-11,Leadership Foundations,01,28,0,25,CC-4470
Spring 2026,2026-01,Excel Essentials,01,32,0,28,CC-3120
Spring 2026,2026-01,Excel Essentials,02,24,0,20,CC-3120
Spring 2026,2026-01,Data Skills Bootcamp,01,46,0,38,CC-3155
Spring 2026,2026-01,Grant Writing Basics,01,16,0,13,CC-5205
Spring 2026,2026-01,Leadership Foundations,01,18,0,15,CC-4470
Spring 2026,2026-02,Excel Essentials,01,35,2,30,CC-3120
Spring 2026,2026-02,Excel Essentials,02,29,1,25,CC-3120
Spring 2026,2026-02,Data Skills Bootcamp,01,60,74,49,CC-3155
Spring 2026,2026-02,Grant Writing Basics,01,21,2,18,CC-5205
Spring 2026,2026-02,Leadership Foundations,01,36,3,31,CC-4470
Spring 2026,2026-03,Excel Essentials,01,37,1,33,CC-3120
Spring 2026,2026-03,Excel Essentials,02,28,0,24,CC-3120
Spring 2026,2026-03,Data Skills Bootcamp,01,58,6,50,CC-3155
Spring 2026,2026-03,Grant Writing Basics,01,22,1,19,CC-5205
Spring 2026,2026-03,Leadership Foundations,01,34,1,30,CC-4470
Spring 2026,2026-04,Excel Essentials,01,33,1,29,CC-3120
Spring 2026,2026-04,Excel Essentials,02,26,0,22,CC-3120
Spring 2026,2026-04,Data Skills Bootcamp,01,52,2,45,CC-3155
Spring 2026,2026-04,Grant Writing Basics,01,19,0,16,CC-5205
Spring 2026,2026-04,Leadership Foundations,01,29,0,26,CC-4470
